project,process,hazard name,product condition,gowning,sterilization,execution pace,batch recoverability,proximity,tactility,allowed movement speed,barrier,critical surfaces,interaction,visibility,distance to object,size,weight,handling
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger transfer fork with sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages plunger transfer fork with sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages right plunger inserter,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,5-30 cm,less than 200 g,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages right plunger inserter with basket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - no obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages right plunger inserter with chute,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages right plunger inserter with plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages right plunger inserter with plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages right plunger inserter with sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages right plunger inserter with sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,31-50 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,high,near - no obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages sensor bracket sensor cable 1,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,31-50 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages sensor bracket sensor cable 2,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,31-50 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages sensor bracket with basket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - no obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages sensor bracket with chute,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages sensor bracket with plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a damages sensor bracket with plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops basket,not applicable,grade c gowning,not applicable,regular,no risk of losing product,far,double gloved hands,medium,isolator with doors open (c background),2,usage of non-sterile tool,high,near - no obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops basket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,usage of non-sterile tool,high,near - no obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops basket lid,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,usage of non-sterile tool,high,near - no obstacles,more than 50 cm,200 g-1 kg,easy
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops chute,not applicable,grade c gowning,not applicable,regular,no risk of losing product,far,double gloved hands,medium,isolator with doors open (c background),0,not applicable,high,near - no obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops chute,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,usage of non-sterile tool,medium,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops left plunger inserter,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),0,not applicable,high,near - no obstacles,5-30 cm,less than 200 g,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops left plunger inserter,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,usage of non-sterile tool,high,near - with obstacles,5-30 cm,less than 200 g,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops plunger bowl,not applicable,grade c gowning,not applicable,regular,no risk of losing product,far,double gloved hands,medium,isolator with doors open (c background),0,not applicable,high,near - no obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),0,not applicable,high,near - no obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,usage of non-sterile tool,high,near - with obstacles,more than 50 cm,more than 3 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops plunger lock,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),1,usage of non-sterile tool,high,near - no obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops plunger lock,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,usage of non-sterile tool,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops plunger transfer fork,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,usage of non-sterile tool,high,near - no obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops plunger transfer fork,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),1,usage of non-sterile tool,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops right plunger inserter,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),0,not applicable,high,near - no obstacles,5-30 cm,less than 200 g,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops right plunger inserter,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,usage of non-sterile tool,high,near - with obstacles,5-30 cm,less than 200 g,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),0,not applicable,high,near - no obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,usage of non-sterile tool,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,usage of non-sterile tool,high,near - no obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a drops sensor bracket,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,usage of non-sterile tool,high,near - with obstacles,5-30 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a exposes plunger bowl,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,high,near - no obstacles,more than 50 cm,less than 200 g,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a incompletely tightens left plunger inserter screw,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,less than 5 cm,less than 200 g,easy
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a incompletely tightens plunger lock screw 1,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,less than 5 cm,less than 200 g,easy
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a incompletely tightens plunger lock screw 2,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,less than 5 cm,less than 200 g,easy
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a incompletely tightens plunger transfer fork screw,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),1,using gloved hand,high,near - with obstacles,less than 5 cm,less than 200 g,easy
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a incompletely tightens right plunger inserter screw,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,less than 5 cm,less than 200 g,easy
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a incorrectly connects plunger bowl sensor cable 1,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,high,near - with obstacles,31-50 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a incorrectly connects plunger bowl sensor cable 2,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),3,using gloved hand,high,near - with obstacles,31-50 cm,200 g-1 kg,moderate
Basel Modul 2,installation plunger bowl and track lanes modul 2,operator a incorrectly connects sensor bracket sensor cable 1,not applicable,grade c gowning,not applicable,slow,no risk of losing product,far,double gloved hands,slow,isolator with doors open (c background),2,using gloved hand,high,near - with obstacles,31-50 cm,200 g-1 kg,moderate
